-100,-93 
-97,-94 
-95,-90 
-93,-90 
-91,-88 
-89,-86 
-87,-84 
-85,-82 
-83,-80 
-80,-76 
-78,-75 
-76,-71 
-74,-70 
-72,-67 
-70,-67 
-68,-63 
-66,-60 
-63,-58 
-61,-59 
-59,-56 
-57,-52 
-55,-54 
-53,-49 
-51,-49 
-49,-44 
-46,-43 
-44,-41 
-42,-40 
-40,-39 
-38,-36 
-36,-33 
-34,-33 
-32,-27 
-30,-27 
-27,-23 
-25,-21 
-23,-21 
-21,-20 
-19,-16 
-17,-17 
-15,-9 
-13,-7 
-10,-9 
-8,-6 
-6,-5 
-4,0 
-2,3 
0,1 
1,7 
3,6 
6,7 
8,9 
10,11 
12,19 
14,17 
16,16 
18,23 
20,25 
23,28 
25,29 
27,29 
29,34 
31,34 
33,35 
35,37 
37,44 
40,44 
42,47 
44,45 
46,51 
48,54 
50,53 
52,57 
54,57 
56,59 
59,61 
61,64 
63,66 
65,67 
67,70 
69,71 
71,76 
73,76 
76,81 
78,83 
80,83 
82,86 
84,86 
86,92 
88,93 
90,92 
93,98 
95,96 
97,99 
99,103 
101,107 
103,105 
105,107 
107,108 
110,113 
